Date,Open,High,Low,Close,Adj Close,Volume
2018-01-01,68.04000091552734,71.44000244140625,68.0,71.13999938964844,60.9640998840332,412635
2018-01-08,71.4000015258789,71.77999877929688,70.0,70.81999969482422,60.68986892700195,614744
2018-01-15,71.22000122070312,75.68000030517578,70.91999816894531,74.80000305175781,64.10057830810547,1059219
2018-01-22,75.0,76.19999694824219,74.0199966430664,74.16000366210938,63.55211639404297,638850
2018-01-29,74.26000213623047,74.58000183105469,70.76000213623047,70.80000305175781,60.6727409362793,829470
2018-02-05,70.55999755859375,70.94000244140625,66.5,67.41999816894531,57.77621078491211,1289794
2018-02-12,68.12000274658203,69.0,66.91999816894531,67.55999755859375,57.896175384521484,682612
2018-02-19,67.9000015258789,68.77999877929688,65.54000091552734,68.69999694824219,58.87311553955078,693849
2018-02-26,68.95999908447266,71.66000366210938,65.27999877929688,65.80000305175781,56.387935638427734,1105608
2018-03-05,65.27999877929688,67.45999908447266,64.22000122070312,64.9000015258789,55.61667251586914,1161813
2018-03-12,65.26000213623047,65.87999725341797,64.04000091552734,64.5199966430664,55.2910270690918,813888
2018-03-19,64.5199966430664,64.72000122070312,59.540000915527344,60.2599983215332,51.640380859375,1023647
2018-03-26,60.5,62.97999954223633,59.439998626708984,61.720001220703125,52.891544342041016,1204077
2018-04-02,61.720001220703125,66.37999725341797,61.2400016784668,65.80000305175781,56.387935638427734,1071722
2018-04-09,66.26000213623047,68.13999938964844,65.31999969482422,68.0,58.27324676513672,1160599
2018-04-16,68.0999984741211,68.4000015258789,65.4000015258789,67.23999786376953,57.621952056884766,948395
2018-04-23,67.37999725341797,69.95999908447266,66.9000015258789,69.22000122070312,59.31874084472656,771194
2018-04-30,69.76000213623047,70.69999694824219,67.19999694824219,67.81999969482422,58.118995666503906,656173
2018-05-07,68.19999694824219,69.0,67.08000183105469,67.13999938964844,57.5362663269043,947328
2018-05-14,67.19999694824219,68.36000061035156,65.0999984741211,67.19999694824219,57.58768081665039,1552204
2018-05-21,67.9000015258789,69.22000122070312,65.08000183105469,65.45999908447266,56.0965690612793,1230563
2018-05-28,65.80000305175781,66.86000061035156,63.58000183105469,66.41999816894531,56.919246673583984,1309277
